step,expert_sb,prefix_pages,alloc_kv,ever_activated
0,8,0,0,8
32000,13,0,125,8
64000,17,191,58,12
96000,20,347,26,15
128000,20,347,151,15
160000,22,538,84,17
192000,23,729,18,18
224000,23,729,143,18
256000,25,920,76,21
288000,27,1111,9,23
320000,27,1111,134,23
352000,28,1302,67,24
384000,28,1493,0,24
416000,28,1493,125,24
448000,29,1684,58,25
480000,29,1684,183,25
512000,31,1875,116,27
544000,32,2066,49,28
576000,32,2066,174,28
608000,32,2257,107,28
640000,33,2448,40,29
672000,33,2448,165,29
704000,33,2639,98,29
736000,33,2830,31,29
768000,33,2830,156,29
